x,y,N
-11.199914,-8.8000984,138
-11.200019,-8.0000936,138
-11.200031,-7.1999372,152
-11.200026,-6.3999175,152
-11.199998,-5.5999719,152
-11.199984,-4.8000446,152
-11.199981,-3.99996,156
-11.200038,-3.1999534,156
-11.199979,-2.4000028,155
-11.200064,-1.5999319,155
-11.199937,-0.80008421,155
-11.200028,-4.3999618e-5,155
-11.199944,0.80009049,165
-11.199925,1.5999887,165
-11.200085,2.4000923,165
-11.200019,3.200048,165
-11.200089,3.9999942,174
-11.20004,4.8000686,179
-11.200044,5.599957,179
-11.199951,6.4000266,179
-11.200024,7.1999649,179
-11.199985,8.0000246,223
-11.199911,8.8000045,223
-11.200093,9.6000977,223
-11.200094,10.400013,223
-11.199942,11.199934,290
-11.199995,12.000053,290
-11.199986,12.799948,290
-11.200085,13.600009,290
-11.200079,14.400092,335
-11.200037,15.200062,335
-11.199998,16.000044,335
-11.19999,16.799935,335
-11.199912,17.59994,354
-11.199913,18.400003,354
-11.199951,19.199935,354
-11.19998,20.000038,354
-10.399934,-20.000014,159
-10.399947,-19.200063,159
-10.400085,-18.399982,159
-10.400071,-17.600064,159
-10.399972,-16.800066,151
-10.399907,-15.999937,151
-10.400035,-15.199956,153
-10.399957,-14.399904,153
-10.400006,-13.600049,153
-10.40009,-12.800036,153
-10.40007,-11.999989,153
-10.400036,-11.200082,138
-10.400085,-10.400017,138
-10.400008,-9.5999672,138
-10.400076,-8.8000569,138
-10.40006,-7.9999812,138
-10.400096,-7.2000176,133
-10.400074,-6.4000282,133
-10.400067,-5.6000042,133
-10.400074,-4.7999958,133
-10.399995,-4.0000403,134
-10.400051,-3.200088,134
-10.399906,-2.3999677,134
-10.400055,-1.5999763,155
-10.399996,-0.8000468,155
-10.400068,9.278395e-5,155
-10.400068,0.79991504,165
-10.399933,1.6000502,165
-10.399911,2.3999442,165
-10.400038,3.1999145,165
-10.400005,3.9999598,174
-10.400078,4.8000231,174
-10.4001,5.6000232,179
-10.399941,6.3999521,179
-10.399971,7.1999932,195
-10.399923,8.0000346,195
-10.400029,8.7999894,223
-10.400086,9.6000044,223
-10.400046,10.400059,223
-10.399976,11.200076,290
-10.399976,12.000053,290
-10.399945,12.799958,290
-10.399997,13.600037,321
-10.400071,14.399935,321
-10.400043,15.199974,335
-10.400011,16.000053,333
-10.399958,16.800033,333
-10.399975,17.600077,333
-10.400032,18.399942,354
-10.399958,19.20007,354
-10.399972,20.000033,354
-9.5999288,-20.000044,159
-9.5999048,-19.199947,151
-9.5999547,-18.400049,151
-9.5999585,-17.599921,151
-9.5999143,-16.799945,151
-9.599992,-15.999923,151
-9.6000299,-15.199932,151
-9.5999024,-14.400011,139
-9.5999354,-13.599957,139
-9.5999694,-12.8001,139
-9.6000522,-11.999902,139
-9.6000365,-11.200064,138
-9.6000886,-10.400048,138
-9.5999545,-9.5999265,138
-9.6000217,-8.8000032,138
-9.5999432,-7.9999629,138
-9.6000058,-7.199936,133
-9.5999128,-6.3999027,133
-9.5999445,-5.6000711,133
-9.599982,-4.7999262,133
-9.5999976,-3.9999228,134
-9.5999407,-3.1999267,134
-9.599906,-2.3999319,134
-9.5999326,-1.6000288,134
-9.5999698,-0.79991504,136
-9.6000073,8.5081505e-5,136
-9.5999608,0.79991559,163
-9.6000283,1.5999081,163
-9.5999934,2.4000108,163
-9.599926,3.1999122,174
-9.6000328,4.0000756,174
-9.5999198,4.7999302,174
-9.6000714,5.5999614,174
-9.6000908,6.4000788,195
-9.6000949,7.200062,195
-9.5999873,7.9999792,195
-9.5999045,8.8000451,242
-9.599996,9.599997,242
-9.5999551,10.400068,242
-9.599945,11.199925,285
-9.5999668,12.00007,285
-9.599915,12.79996,321
-9.599959,13.59996,321
-9.6000312,14.400062,321
-9.6000764,15.200027,333
-9.6000277,16.000047,333
-9.6000068,16.800085,333
-9.6000697,17.599967,333
-9.599937,18.40002,352
-9.6000329,19.200094,352
-9.5999194,19.999903,352
-8.8000614,-19.199975,151
-8.8000965,-18.400088,151
-8.8000081,-17.600094,151
-8.8000869,-16.800063,151
-8.8000621,-16.00001,151
-8.7999083,-15.20008,151
-8.8000511,-14.400061,139
-8.8000902,-13.599945,139
-8.8000577,-12.800048,139
-8.8000269,-11.999935,139
-8.8000147,-11.199988,139
-8.8000973,-10.399984,138
-8.7999553,-9.5999926,138
-8.8000671,-8.7999092,138
-8.8000725,-7.9999081,138
-8.7999642,-7.1999127,133
-8.8000278,-6.4000065,133
-8.7999815,-5.6000803,133
-8.800022,-4.799942,133
-8.8000598,-3.9999407,134
-8.7999719,-3.2000815,134
-8.8000233,-2.3999587,134
-8.7999595,-1.6000989,134
-8.7999705,-0.80000393,136
-8.7999289,4.7171521e-5,136
-8.7999668,0.79997544,163
-8.8000461,1.6000695,163
-8.8000425,2.3999458,163
-8.799931,3.2000071,170
-8.7999302,4.0000164,170
-8.8000609,4.8000862,174
-8.7999628,5.6000178,183
-8.7999021,6.4000523,183
